Date,Price
2/2/15,237.54
2/3/15,226.96
2/4/15,226.73
2/5/15,216.77
2/6/15,222.48
2/9/15,220.17
2/10/15,220.08
2/11/15,219.49
2/12/15,221.85
2/13/15,235.79
2/17/15,243.6
2/18/15,236.21
2/19/15,239.83
2/20/15,243.78
2/23/15,238.08
2/24/15,238.76
2/25/15,237.25
2/26/15,236.1
2/27/15,252.51
3/2/15,271.35
3/3/15,281.45
3/4/15,271.92
3/5/15,274.86
3/6/15,272.21
3/9/15,288.52
3/10/15,290.51
3/11/15,295.83
3/12/15,293.87
3/13/15,284.28
3/16/15,290.38
3/17/15,284.46
3/18/15,255.37
3/19/15,259.74
3/20/15,260.84
3/23/15,265.94
3/24/15,245.44
3/25/15,246.13
3/26/15,247.65
3/27/15,246.58
3/30/15,246.85
3/31/15,243.39
4/1/15,246.55
4/2/15,252.26
4/6/15,254.52
4/7/15,252.8
4/8/15,244.36
4/9/15,243.26
4/10/15,235.22
4/13/15,223.41
4/14/15,218.27
4/15/15,223.57
4/16/15,228.11
4/17/15,222.23
4/20/15,224.31
4/21/15,235.81
4/22/15,233.92
4/23/15,235.56
4/24/15,230.79
4/27/15,228.5
4/28/15,225.68
4/29/15,225.98
4/30/15,236.57
5/1/15,232.12
5/4/15,238.77
5/5/15,236.55
5/6/15,230.05
5/7/15,237.78
5/8/15,243.39
5/11/15,241.85
5/12/15,240.99
5/13/15,235.8
5/14/15,236.74
5/15/15,237.31
5/18/15,232.87
5/19/15,231.94
5/20/15,234.25
5/21/15,235.3
5/22/15,240.52
5/26/15,237.33
5/27/15,237.18
5/28/15,237.47
5/29/15,237.1
6/1/15,223.31
6/2/15,225.75
6/3/15,225.65
6/4/15,224.37
6/5/15,225.04
6/8/15,228.65
6/9/15,229.33
6/10/15,228.95
6/11/15,230.02
6/12/15,230.2
6/15/15,237.31
6/16/15,250.9
6/17/15,249.17
6/18/15,248.87
6/19/15,243.55
6/22/15,246.77
6/23/15,243.99
6/24/15,240.22
6/25/15,242.42
6/26/15,242.64
6/29/15,256.49
6/30/15,262.48
7/1/15,257.66
7/2/15,254.35
7/6/15,268.49
7/7/15,264.96
7/8/15,269.65
7/9/15,268.11
7/10/15,283.88
7/13/15,290.88
7/14/15,286.19
7/15/15,283.82
7/16/15,277.83
7/17/15,278.49
7/20/15,278.41
7/21/15,275.1
7/22/15,276.62
7/23/15,275.63
7/24/15,287.97
7/27/15,292.73
7/28/15,293.79
7/29/15,288.77
7/30/15,287.29
7/31/15,283.94
8/3/15,280.48
8/4/15,284.5
8/5/15,281.38
8/6/15,278.25
8/7/15,279.03
8/10/15,263.76
8/11/15,270.92
8/12/15,265.64
8/13/15,263.34
8/14/15,264.87
8/17/15,256.98
8/18/15,219
8/19/15,225.39
8/20/15,234.69
8/21/15,231.94
8/24/15,209.13
8/25/15,221.71
8/26/15,225.38
8/27/15,224.26
8/28/15,230.98
8/31/15,230.02
9/1/15,227.35
9/2/15,228.86
9/3/15,226.76
9/4/15,230.09
9/8/15,243.55
9/9/15,238.29
9/10/15,238.59
9/11/15,240.08
9/14/15,230.24
9/15/15,229.92
9/16/15,228.8
9/17/15,232.79
9/18/15,232.72
9/21/15,226.61
9/22/15,230.52
9/23/15,229.96
9/24/15,234.28
9/25/15,234.84
9/28/15,239.34
9/29/15,236.62
9/30/15,236.25
10/1/15,237.57
10/2/15,237.4
10/5/15,240.59
10/6/15,246.42
10/7/15,243.27
10/8/15,242.69
10/9/15,244.32
10/12/15,245.59
10/13/15,249.94
10/14/15,252.59
10/15/15,254.81
10/16/15,262.94
10/19/15,264.42
10/20/15,270.22
10/21/15,267.33
10/22/15,274.41
10/23/15,277.46
10/26/15,286.13
10/27/15,294.4
10/28/15,303.89
10/29/15,313.59
10/30/15,326
11/2/15,359.35
11/3/15,400.71
11/4/15,408.74
11/5/15,387.51
11/6/15,374.95
11/9/15,380.04
11/10/15,337.93
11/11/15,312.58
11/12/15,336.86
11/13/15,337.29
11/16/15,331.59
11/17/15,335.77
11/18/15,334.97
11/19/15,326.31
11/20/15,321.99
11/23/15,323.26
11/24/15,320.16
11/25/15,328.98
11/27/15,358.18
11/30/15,376.91
12/1/15,362.73
12/2/15,359.43
12/3/15,361.31
12/4/15,363.48
12/7/15,395.86
12/8/15,418.14
12/9/15,418.04
12/10/15,415.25
12/11/15,453.9
12/14/15,443.84
12/15/15,465.5
12/16/15,455.37
12/17/15,455.99
12/18/15,463.84
12/21/15,437.76
12/22/15,435.5
12/23/15,442.84
12/24/15,454.85
12/28/15,421.26
12/29/15,432.62
12/30/15,426.14
12/31/15,430.05
1/4/16,433.49
1/5/16,432.25
1/6/16,429.46
1/7/16,458.28
1/8/16,453.37
1/11/16,448.38
1/12/16,432.88
1/13/16,432.04
1/14/16,429.73
1/15/16,358.77
1/19/16,377.74
1/20/16,418.74
1/21/16,409.94
1/22/16,381.76
1/25/16,390.66
1/26/16,391.43
1/27/16,394.63
1/28/16,379.38
1/29/16,378.2
2/1/16,371.25
2/2/16,372.88
2/3/16,368.93
2/4/16,388.61
2/5/16,385.34
2/8/16,371.1
2/9/16,373.32
2/10/16,379.96
2/11/16,377.72
2/12/16,383.13
2/16/16,407.36
2/17/16,415.56
2/18/16,421.64
2/19/16,420.33
2/22/16,438.07
2/23/16,419.98
2/24/16,424.36
2/25/16,423.52
2/26/16,432.06
2/29/16,436.61
3/1/16,433.64
3/2/16,421.6
3/3/16,419.47
3/4/16,407.98
3/7/16,412.98
3/8/16,411.76
3/9/16,412.62
3/10/16,416.16
3/11/16,419.89
3/14/16,415.09
3/15/16,415.38
3/16/16,416.25
3/17/16,418.45
3/18/16,408.04
3/21/16,411.42
3/22/16,416.93
3/23/16,417.39
3/24/16,414.34
3/28/16,422.76
3/29/16,415.55
3/30/16,412.69
3/31/16,415.16
4/1/16,417.01
4/4/16,419.42
4/5/16,422.65
4/6/16,421.7
4/7/16,421.2
4/8/16,418.09
4/11/16,422.99
4/12/16,425.99
4/13/16,424.4
4/14/16,425.11
4/15/16,429.98
4/18/16,429.05
4/19/16,436.1
4/20/16,442.16
4/21/16,451.1
4/22/16,447.64
4/25/16,462.51
4/26/16,467.8
4/27/16,445.01
4/28/16,449.86
4/29/16,456.35
5/2/16,444.51
5/3/16,450.27
5/4/16,446.96
5/5/16,448.53
5/6/16,460.37
5/9/16,461.49
5/10/16,450.99
5/11/16,452.11
5/12/16,454.82
5/13/16,455.73
5/16/16,453.41
5/17/16,452.75
5/18/16,453.38
5/19/16,436.73
5/20/16,442.95
5/23/16,443.73
5/24/16,445.13
5/25/16,449.23
5/26/16,453.82
5/27/16,473.47
5/31/16,531.8
6/1/16,536.42
6/2/16,538.14
6/3/16,570.47
6/6/16,585.53
6/7/16,577.86
6/8/16,583.1
6/9/16,576.45
6/10/16,579.13
6/13/16,705.62
6/14/16,685.99
6/15/16,696.32
6/16/16,768.24
6/17/16,747.55
6/20/16,727.95
6/21/16,665.88
6/22/16,602.89
6/23/16,625.49
6/24/16,665.16
6/27/16,658.4
6/28/16,646.3
6/29/16,639.08
6/30/16,672.48
7/1/16,676.52
7/5/16,668.09
7/6/16,676.11
7/7/16,639.76
7/8/16,664.74
7/11/16,649.03
7/12/16,664.84
7/13/16,653.93
7/14/16,659.64
7/15/16,664.88
7/18/16,673.59
7/19/16,673.84
7/20/16,666.18
7/21/16,665.1
7/22/16,650.82
7/25/16,655.13
7/26/16,651.08
7/27/16,655.44
7/28/16,655.63
7/29/16,656.67
8/1/16,607.37
8/2/16,552.82
8/3/16,565.26
8/4/16,578.32
8/5/16,574.96
8/8/16,590.62
8/9/16,584.76
8/10/16,592.89
