Date,Price
2/1/15,50000
2/2/15,50000
2/3/15,50000
2/4/15,50000
2/5/15,50000
2/6/15,50000
2/7/15,50000
2/8/15,50000
2/9/15,50000
2/10/15,50000
2/11/15,50000
2/12/15,50000
2/13/15,50000
2/14/15,50000
2/15/15,50000
2/16/15,50000
2/17/15,50000
2/18/15,50000
2/19/15,50000
2/20/15,50000
2/21/15,50000
2/22/15,50000
2/23/15,50000
2/24/15,50000
2/25/15,50000
2/26/15,50000
2/27/15,50000
2/28/15,50000
3/1/15,50000
3/2/15,50000
3/3/15,50000
3/4/15,50000
3/5/15,50000
3/6/15,50000
3/7/15,50000
3/8/15,50000
3/9/15,50000
3/10/15,50000
3/11/15,50000
3/12/15,50000
3/13/15,50000
3/14/15,50000
3/15/15,50000
3/16/15,50000
3/17/15,50000
3/18/15,50000
3/19/15,50000
3/20/15,50000
3/21/15,50000
3/22/15,50000
3/23/15,50000
3/24/15,50000
3/25/15,50000
3/26/15,50000
3/27/15,50000
3/28/15,50000
3/29/15,50000
3/30/15,50000
3/31/15,50000
4/1/15,50000
4/2/15,50000
4/3/15,50000
4/4/15,50000
4/5/15,50000
4/6/15,50000
4/7/15,50000
4/8/15,50000
4/9/15,50000
4/10/15,50000
4/11/15,50000
4/12/15,50000
4/13/15,50000
4/14/15,50000
4/15/15,50000
4/16/15,50000
4/17/15,50000
4/18/15,50000
4/19/15,50000
4/20/15,50000
4/21/15,50000
4/22/15,50000
4/23/15,50000
4/24/15,50000
4/25/15,50000
4/26/15,50000
4/27/15,50298.06865
4/28/15,51731.50604
4/29/15,51290.79787
4/30/15,51281.71111
5/1/15,53828.27737
5/2/15,52994.56656
5/3/15,53630.6402
5/4/15,54730.13892
5/5/15,54496.15469
5/6/15,53816.91891
5/7/15,52281.2554
5/8/15,54096.33697
5/9/15,55584.29496
5/10/15,55120.86987
5/11/15,54909.60256
5/12/15,55202.65077
5/13/15,55014.10037
5/14/15,53716.96448
5/15/15,53975.93732
5/16/15,54057.71821
5/17/15,53810.10383
5/18/15,53898.6998
5/19/15,53199.0188
5/20/15,52869.62352
5/21/15,53312.60338
5/22/15,53592.02144
5/23/15,54655.1731
5/24/15,54407.55872
5/25/15,54739.22569
5/26/15,53969.12224
5/27/15,53823.73398
5/28/15,53950.94871
5/29/15,53948.67702
5/30/15,53846.4509
5/31/15,53087.70591
6/1/15,52328.96092
6/2/15,50818.28602
6/3/15,51338.5034
6/4/15,51340.77509
6/5/15,51047.72687
6/6/15,51138.59454
6/7/15,51254.45081
6/8/15,50893.25185
6/9/15,52076.80316
6/10/15,52094.97669
6/11/15,51992.75057
6/12/15,52210.83296
6/13/15,52160.85575
6/14/15,53069.53238
6/15/15,53099.06437
6/16/15,53869.16781
6/17/15,57258.53165
6/18/15,56881.43085
6/19/15,56658.80507
6/20/15,55990.92775
6/21/15,55945.49392
6/22/15,55611.55525
6/23/15,56256.71566
6/24/15,55579.75157
6/25/15,54562.03374
6/26/15,55107.23972
6/27/15,55234.45445
6/28/15,57185.83752
6/29/15,56622.45801
6/30/15,58537.49401
7/1/15,59964.11632
7/2/15,58873.70436
7/3/15,57926.40897
7/4/15,58403.4642
7/5/15,59241.7184
7/6/15,61763.29605
7/7/15,61354.39156
7/8/15,60500.23553
7/9/15,61588.3758
7/10/15,61311.22942
7/11/15,65154.93158
7/12/15,66872.33041
7/13/15,70945.47341
7/14/15,64583.59433
7/15/15,64583.59433
7/16/15,64583.59433
7/17/15,64583.59433
7/18/15,64583.59433
7/19/15,64583.59433
7/20/15,64583.59433
7/21/15,64583.59433
7/22/15,64583.59433
7/23/15,64583.59433
7/24/15,64583.59433
7/25/15,64583.59433
7/26/15,64583.59433
7/27/15,64583.59433
7/28/15,64583.59433
7/29/15,64583.59433
7/30/15,64583.59433
7/31/15,64583.59433
8/1/15,64583.59433
8/2/15,64583.59433
8/3/15,64583.59433
8/4/15,64583.59433
8/5/15,64583.59433
8/6/15,64583.59433
8/7/15,64583.59433
8/8/15,64583.59433
8/9/15,64583.59433
8/10/15,64583.59433
8/11/15,64583.59433
8/12/15,64583.59433
8/13/15,64583.59433
8/14/15,64583.59433
8/15/15,64583.59433
8/16/15,64583.59433
8/17/15,64583.59433
8/18/15,64583.59433
8/19/15,64583.59433
8/20/15,64583.59433
8/21/15,64583.59433
8/22/15,64583.59433
8/23/15,64583.59433
8/24/15,64583.59433
8/25/15,63246.33777
8/26/15,67011.07256
8/27/15,67933.53741
8/28/15,67631.04082
8/29/15,69353.17488
8/30/15,69071.6434
8/31/15,68706.25147
9/1/15,69113.57362
9/2/15,68355.83463
9/3/15,68879.96239
9/4/15,68065.3181
9/5/15,69305.25462
9/6/15,70688.9519
9/7/15,72270.32021
9/8/15,72276.31025
9/9/15,73123.8997
9/10/15,71509.58621
9/11/15,71440.70085
9/12/15,72153.5146
9/13/15,70835.70767
9/14/15,69134.53873
