Date,Price
6/1/16,50000
6/2/16,50000
6/3/16,50000
6/4/16,50000
6/5/16,50000
6/6/16,50000
6/7/16,50000
6/8/16,50000
6/9/16,49544.57618
6/10/16,49713.78327
6/11/16,46671.33447
6/12/16,46771.06262
6/13/16,51680.32759
6/14/16,59342.76143
6/15/16,57248.35223
6/16/16,56121.08447
6/17/16,63951.02541
6/18/16,44005.39422
6/19/16,44005.39422
6/20/16,42245.7407
6/21/16,40398.56919
6/22/16,47513.60017
6/23/16,46697.42402
6/24/16,46697.42402
6/25/16,47947.78245
6/26/16,47420.52295
6/27/16,46201.23536
6/28/16,46464.86511
6/29/16,41165.64927
6/30/16,40079.55793
7/1/16,39293.0847
7/2/16,38689.70243
7/3/16,38689.70243
7/4/16,38689.70243
7/5/16,38689.70243
7/6/16,39237.53374
7/7/16,39225.50366
7/8/16,39225.50366
7/9/16,39225.50366
7/10/16,39225.50366
7/11/16,39225.50366
7/12/16,39225.50366
7/13/16,39225.50366
7/14/16,39225.50366
7/15/16,38437.75412
7/16/16,39661.6676
7/17/16,39002.57365
7/18/16,39002.57365
7/19/16,37128.47946
7/20/16,39480.50978
7/21/16,42000.54227
7/22/16,42874.15353
7/23/16,49829.44318
7/24/16,48787.82976
7/25/16,47139.72851
7/26/16,48726.72409
7/27/16,45346.23611
7/28/16,45346.23611
7/29/16,45346.23611
7/30/16,45346.23611
7/31/16,45346.23611
8/1/16,45346.23611
8/2/16,45346.23611
8/3/16,43578.26284
8/4/16,43321.24023
8/5/16,43321.24023
8/6/16,43321.24023
8/7/16,43321.24023
8/8/16,43321.24023
8/9/16,43321.24023
8/10/16,46555.6455
8/11/16,45870.20133
8/12/16,45103.68882
8/13/16,45411.29354
8/14/16,44693.39722
8/15/16,43167.62399
8/16/16,43167.62399
8/17/16,43167.62399
8/18/16,43167.62399
8/19/16,43167.62399
8/20/16,43167.62399
8/21/16,43167.62399
8/22/16,43167.62399
8/23/16,43167.62399
8/24/16,43167.62399
8/25/16,43167.62399
8/26/16,43167.62399
8/27/16,42550.16845
8/28/16,42550.16845
8/29/16,42550.16845
8/30/16,42550.16845
8/31/16,42550.16845
9/1/16,43376.47903
9/2/16,44410.26068
9/3/16,44778.77867
9/4/16,43238.23874
9/5/16,42837.8947
9/6/16,42801.49979
9/7/16,42619.52522
9/8/16,42146.39135
9/9/16,41175.19309
9/10/16,41175.19309
9/11/16,41582.72623
9/12/16,39675.58901
9/13/16,40390.76547
9/14/16,40595.1016
9/15/16,40561.04558
9/16/16,40731.32569
9/17/16,42842.79904
9/18/16,43557.9755
9/19/16,43047.13517
9/20/16,44852.10433
9/21/16,49585.89136
9/22/16,45766.24538
9/23/16,45766.24538
9/24/16,45436.60888
9/25/16,44077.28308
9/26/16,44587.03026
9/27/16,43856.90239
9/28/16,43856.90239
9/29/16,43704.28002
9/30/16,43015.2486
10/1/16,43408.98084
10/2/16,43376.16982
10/3/16,43573.03594
10/4/16,44327.68941
10/5/16,43704.28002
10/6/16,42949.62656
10/7/16,41918.70429
10/8/16,41918.70429
10/9/16,41918.70429
10/10/16,41918.70429
10/11/16,41918.70429
10/12/16,41918.70429
10/13/16,41780.19402
10/14/16,41604.94153
10/15/16,41780.19402
10/16/16,41885.34551
10/17/16,41885.34551
10/18/16,41920.39601
10/19/16,44047.43546
10/20/16,44047.43546
10/21/16,44047.43546
10/22/16,44047.43546
10/23/16,44047.43546
10/24/16,44047.43546
10/25/16,44047.43546
10/26/16,44047.43546
10/27/16,44047.43546
10/28/16,44047.43546
10/29/16,44047.43546
10/30/16,44047.43546
10/31/16,44047.43546
11/1/16,44047.43546
11/2/16,44047.43546
11/3/16,44047.43546
11/4/16,44047.43546
11/5/16,44047.43546
11/6/16,44047.43546
11/7/16,44047.43546
11/8/16,44047.43546
11/9/16,44047.43546
11/10/16,44047.43546
11/11/16,44047.43546
11/12/16,44047.43546
11/13/16,44047.43546
11/14/16,44047.43546
11/15/16,44047.43546
11/16/16,44047.43546
11/17/16,44047.43546
11/18/16,44047.43546
11/19/16,44047.43546
11/20/16,44047.43546
11/21/16,44047.43546
11/22/16,44047.43546
11/23/16,42911.43448
11/24/16,42911.43448
11/25/16,42911.43448
11/26/16,42911.43448
11/27/16,42911.43448
11/28/16,42911.43448
11/29/16,42911.43448
11/30/16,42911.43448
12/1/16,42911.43448
12/2/16,42911.43448
12/3/16,42911.43448
12/4/16,42911.43448
